Title,Price
"APPLE MacBook Pro (2023), Notebook mit 14 Zoll Display, Apple M3 Chip, 8 GB RAM, 10-Core GPU, 1 TB SSD, Space Grau","2229,00€"
"APPLE MacBook Air (2024), MRYV3D/A, Notebook, mit 15,3 Zoll Display, M3 Prozessor, 8 GB RAM, 512 GB SSD, Mitternacht, macOS","1829,00€"
"HP Laptop 15s-fq5353ng, Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,i5-1235U Prozessor, 8 GB RAM, 512 GB SSD, Intel® Iris® Xe, Natursilber, Windows 11 Home (64 Bit)","599,00€"
"ASUS TUF Gaming A17 FA706NF-HX018, Gaming Notebook, mit 17,3 Zoll Display, AMD Ryzen™ 5,7535HS Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX™ 2050, Graphite Black, Kein Betriebssystem","799,00€"
"ACER Chromebook Plus 515 (CB515-2H-363X), Chromebook Plus, mit 15,6 Zoll Display, Intel® Core™ i3,i3-1215U  Prozessor, 8 GB RAM, 128 GB Flash, Intel® UHD Graphics, Steel Gray, Google Chrome OS","549,00€"
"SAMSUNG Galaxy Book4, Notebook, mit 15,6 Zoll Display, Intel® Core™ 3,100U Prozessor, 8 GB RAM, 256 GB SSD, Intel® Core™ Onboard Graphics, Silver, Windows 11 Pro (64 Bit)","909,00€"
"MICROSOFT Surface Laptop Go 3, Notebook, mit 12,45 Zoll Display Touchscreen, Intel® Core™ i5,i5-1235U Prozessor, 8 GB RAM, 256 GB SSD, Intel® Iris® Xe, Platin, Windows 11 Home (64 Bit)","859,99€"
"ACER Nitro 5 (AN515-57-57R3), Gaming Notebook, mit 15,6 Zoll Display, Intel® Core™ i5,i5-11400H  Prozessor, 8 GB RAM, 512 GB SSD, NVIDIA GeForce® GTX 1650, Schwarz, Windows 11 Home (64 Bit)","899,00€"
"HP x360 14a-ca0312ng, Chromebook, mit 14 Zoll Display Touchscreen, Intel® Celeron®,N4120 Prozessor, 4 GB RAM, 64 GB eMMC, Intel® UHD 600, Silber, Google Chrome OS","379,00€"
"ACER Aspire 3 (A314-23P-R9DS), Notebook, mit 14,0 Zoll Display, AMD Ryzen™ 3,7320U Prozessor, 8 GB RAM, 256 GB SSD, AMD Radeon™ Onboard Graphics, Pure Silver, Windows 11 Home S-Modus (64 Bit)","499,00€"
